goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2023
cpu: Intel(R) Core(TM) i7-14700K
BenchmarkDay02Part2-28      	  111529	     10706 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   37602	     31975 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   37500	     31989 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   37395	     32036 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   37494	     31989 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   37214	     32113 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   37686	     31945 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   37813	     31767 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   37857	     31680 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   37815	     31683 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   37072	     32483 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   69241	     17050 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   69988	     16997 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   69681	     17074 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   70084	     16962 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   70023	     17042 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   69852	     16999 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   70064	     17036 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   71120	     16930 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   71245	     16825 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   70122	     17011 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1V1-28    	    9048	    205118 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    7998	    248014 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    5898	    201582 ns/op	  128968 B/op	     807 allocs/op
