goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2023
cpu: Intel(R) Core(TM) i7-14700K
BenchmarkDay02Part2-28      	  105072	     11402 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   36387	     32799 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   36435	     32883 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   36615	     32755 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   36567	     32765 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   36572	     32785 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   36442	     32767 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   36130	     32978 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   36650	     32836 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   36577	     32925 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part1-28      	   36025	     33039 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   64382	     18498 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   63852	     18486 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   64690	     18751 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   65570	     18337 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   65056	     18343 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   63253	     18424 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   64729	     18540 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   64773	     18561 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   65191	     18382 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay03Part2-28      	   65175	     18334 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1V1-28    	    8115	    209765 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    4688	    265641 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    5042	    202314 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    5221	    223503 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    4221	    248768 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    5503	    244755 ns/op	  128969 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    4855	    269362 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    4575	    225540 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    5420	    215115 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    4273	    242363 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1-28      	   57253	     20244 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   57855	     20340 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   59542	     20440 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   59056	     20423 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   59227	     20244 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   59662	     20044 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   59271	     20311 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   58364	     20315 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   59586	     20186 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   58393	     20592 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   45174	     26443 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   44517	     26279 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   44716	     26082 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   45666	     26061 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   45268	     26627 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   45109	     26592 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   45049	     26642 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   45121	     26754 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   45313	     26169 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   43914	     26878 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay05Part1-28      	   17300	     71961 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   18298	     66595 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   16680	     70708 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   17138	     69909 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   20673	     62048 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   16867	     76825 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   15880	     71175 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   16131	     74086 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   18758	     60061 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   18554	     56208 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part2-28      	    3805	    403569 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    3669	    425833 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    2854	    395529 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    2842	    403485 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    2457	    463255 ns/op	  249528 B/op	    8266 allocs/op
